,course_title,course_organization,course_URL,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_icon,image_name
50,How to Get Skilled: Introduction to Individual Skills Management (Project-Centered Course),The State University of New York,https://www.coursera.org/learn/skills-management,,4.7,Mixed,26k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/49/1b7ef02c3f11e7973bdddc08fd00dc/GTGPartIILogo.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF,"Grow to Greatness: Smart Growth for Private Businesses, Part II by University of Virginia"
51,"Fundamentals of Management, with Goldman Sachs 10,000 Women",Goldman Sachs,https://www.coursera.org/learn/10k-women-8,,4.7,Mixed,,,
52,The Factors that Influence the Effectiveness of Boards and the Governance Process,University at Buffalo,https://www.coursera.org/learn/nonprofit-gov-3,,4.7,Beginner,,,
53,Best Practices in Planning DE&I Interventions,Rice University,https://www.coursera.org/learn/best-practices-in-planning-dei-interventions,,4.8,Beginner,,,
54,"Le Où, Pourquoi et Comment des Fonctions Lambda en Python",Coursera Project Network,https://www.coursera.org/projects/le-pourquoi-et-comment-des-fonctions-lambda,,4.7,Beginner,,,
55,Extraire des Données de Texte avec Python et Regex,Coursera Project Network,https://www.coursera.org/projects/extraire-des-donnes-de-texte-avec-python-et-regex,,4.8,Mixed,,,
56,Leading People and Teams,University of Michigan,https://www.coursera.org/specializations/leading-teams,,,,,,
57,Diversity and Inclusion for HR Professionals,"University of California, Irvine",https://www.coursera.org/learn/diversity-and-inclusion-for-hr-professionals,,,,,,
58,Sales Training for High Performing Teams,HubSpot Academy,https://www.coursera.org/specializations/sales-training-high-performing-teams,,,,,,
59,"Grow to Greatness: Smart Growth for Private Businesses, Part II",University of Virginia,https://www.coursera.org/learn/uva-darden-smart-growth-strategy-2,,,,,,
